sklep_id;dzien_tyg;data;sprzedaz;liczba_klientow;czy_otwarty;czy_promocja;czy_swieto;czy_swieto_szkolne;sklep_typ;sklep_asort;sklep_konkurencja
77;3;2014-12-31;4677;417;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-12-30;8676;737;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-12-29;9109;753;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;7;2014-12-28;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-12-27;6682;566;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-12-26;0;0;Nie;Nie;Boże Narodzenie;Tak;d;Rozszerzony;1090
77;4;2014-12-25;0;0;Nie;Nie;Boże Narodzenie;Tak;d;Rozszerzony;1090
77;3;2014-12-24;5672;473;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-12-23;12889;1118;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-12-22;13432;1109;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;7;2014-12-21;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-12-20;12180;949;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-12-19;12506;910;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-12-18;12535;937;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-12-17;11417;815;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-12-16;12151;891;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-12-15;15413;1033;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-12-14;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-12-13;10139;801;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-12-12;8503;730;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-12-11;7399;619;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-12-10;6165;533;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-12-09;6012;566;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-12-08;7277;616;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-12-07;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-12-06;8548;726;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-12-05;12311;930;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-12-04;10062;777;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-12-03;9653;713;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-12-02;10524;746;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-12-01;12246;915;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-11-30;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-11-29;10067;825;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-11-28;11343;861;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-11-27;10387;797;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-11-26;9362;748;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-11-25;9027;738;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-11-24;11182;881;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-11-23;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-11-22;8098;678;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-11-21;6519;587;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-11-20;5963;584;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-11-19;5834;562;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-11-18;5671;528;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-11-17;6824;635;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-11-16;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-11-15;8378;723;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-11-14;9009;753;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-11-13;7859;682;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-11-12;8047;662;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-11-11;8011;678;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-11-10;10169;814;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-11-09;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-11-08;8231;753;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-11-07;8294;719;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-11-06;8049;639;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-11-05;8163;630;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-11-04;9477;738;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-11-03;11221;824;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
